Rank Men,Division Men,Score Men,Rank Women,Division Women,Score Women
1,RX,(8:57),1,RX,(9:42)
2,RX,(9:18),2,RX,(9:54)
3,RX,(10:06),3,RX,(12:09)
4,RX,(10:22),4,RX,(12:23)
5,RX,(10:42),5,RX,(14:48)
6,RX,(10:51),6,RX,(128 reps)
7,RX,(10:57),7,RX,(127 reps)
8,RX,(10:58),8,RX,(122 reps)
9,RX,(11:26),9,RX,(119 reps)
10,RX,(11:58),10,RX,(118 reps)
11,RX,(12:20),11,RX,(117 reps)
12,RX,(12:41),12,RX,(117 reps)
13,RX,(12:46),13,RX,(116 reps)
14,RX,(12:57),14,RX,(116 reps)
15,RX,(13:41),15,RX,(115 reps)
16,RX,(14:44),16,RX,(113 reps)
17,RX,(130 reps),17,RX,(112 reps)
18,RX,(129 reps),18,RX,(112 reps)
19,RX,(129 reps),19,RX,(112 reps)
20,RX,(128 reps),20,RX,(112 reps)
21,RX,(128 reps),21,RX,(112 reps)
22,RX,(127 reps),22,RX,(112 reps)
23,RX,(126 reps),23,RX,(112 reps)
24,RX,(126 reps),24,RX,(112 reps)
25,RX,(125 reps),25,RX,(112 reps)
26,RX,(124 reps),26,RX,(112 reps)
27,RX,(124 reps),27,RX,(112 reps)
28,RX,(123 reps),28,RX,(112 reps)
29,RX,(122 reps),29,RX,(112 reps)
30,RX,(122 reps),30,RX,(112 reps)
31,RX,(122 reps),31,RX,(112 reps)
32,RX,(122 reps),32,RX,(112 reps)
33,RX,(122 reps),33,RX,(112 reps)
34,RX,(121 reps),34,RX,(112 reps)
35,RX,(121 reps),35,RX,(112 reps)
36,RX,(121 reps),36,RX,(112 reps)
37,RX,(120 reps),37,RX,(112 reps)
38,RX,(120 reps),38,RX,(112 reps)
39,RX,(120 reps),39,RX,(112 reps)
40,RX,(119 reps),40,RX,(112 reps)
41,RX,(119 reps),41,RX,(112 reps)
42,RX,(118 reps),42,RX,(112 reps)
43,RX,(118 reps),43,RX,(112 reps)
44,RX,(118 reps),44,RX,(112 reps)
45,RX,(118 reps),45,RX,(112 reps)
46,RX,(118 reps),46,RX,(112 reps)
47,RX,(118 reps),47,RX,(112 reps)
48,RX,(118 reps),48,RX,(112 reps)
49,RX,(117 reps),49,RX,(112 reps)
50,RX,(117 reps),50,RX,(112 reps)
51,RX,(117 reps),51,RX,(112 reps)
52,RX,(117 reps),52,RX,(112 reps)
53,RX,(116 reps),53,RX,(112 reps)
54,RX,(116 reps),54,RX,(112 reps)
55,RX,(116 reps),55,RX,(112 reps)
56,RX,(116 reps),56,RX,(112 reps)
57,RX,(116 reps),57,RX,(112 reps)
58,RX,(115 reps),58,RX,(112 reps)
59,RX,(115 reps),59,RX,(112 reps)
60,RX,(115 reps),60,RX,(112 reps)
61,RX,(115 reps),61,RX,(112 reps)
62,RX,(115 reps),62,RX,(112 reps)
63,RX,(115 reps),63,RX,(112 reps)
64,RX,(114 reps),64,RX,(112 reps)
