"Region,Province,Affiliate Name,Athlete Count (Open 2026)"
"ภาคกลาง,กรุงเทพฯ,Crossfit Naga,64"
"ภาคกลาง,กรุงเทพฯ,Thonglor CrossFit,58"
"ภาคกลาง,กรุงเทพฯ,East West CrossFit,42"
"ภาคกลาง,กรุงเทพฯ,CrossFit Peak 365,36"
"ภาคกลาง,กรุงเทพฯ,IAOT CrossFit,31"
"ภาคกลาง,กรุงเทพฯ,Hundred Ten CrossFit,31"
"ภาคกลาง,กรุงเทพฯ,CrossFit Ten500,28"
"ภาคกลาง,กรุงเทพฯ,Power Up CrossFit,23"
"ภาคกลาง,กรุงเทพฯ,CrossFit TenFive Bangwa,9"
"ภาคกลาง,กรุงเทพฯ,Arbkk CrossFit,7"
"ภาคกลาง,กรุงเทพฯ,Podium Gym CrossFit,2"
"ภาคกลาง,กรุงเทพฯ,CrossFit Siam 31,0"
"ภาคกลาง,นนทบุรี,CrossFit DCHKT,32"
"ภาคกลาง,ปทุมธานี,TNB CrossFit,33"
"ภาคเหนือ,เชียงใหม่,CrossFit Pulmo,64"
"ภาคเหนือ,เชียงใหม่,CrossFit Chiang Mai,44"
"ภาคใต้,ภูเก็ต,Motus Cultura CrossFit,42"
"ภาคใต้,ภูเก็ต,CrossFit Pirate Camp,16"
"ภาคใต้,ภูเก็ต,CrossFit Phuket,3"
"ภาคใต้,ภูเก็ต,Lyuten Fitness,0"
"ภาคใต้,สุราษฎร์ธานี,Lamai Beach CrossFit,6"
"ภาคใต้,สุราษฎร์ธานี,Koh Samui CrossFit,4"
"ภาคใต้,สุราษฎร์ธานี,Koh Tao CrossFit,0"
"ภาคตะวันตก,ประจวบคีรีขันธ์,CrossFit Hua Hin,23"
